;factor2
788;2,6
789;3,0833333333
790;3,5
791;3,5
792;3,5833333333
793;2,0833333333
794;2
795;1,9166666667
796;2,9166666667
797;3,8
798;2,625
799;2,2727272727
800;1,9
801;3
802;3,25
803;3,4285714286
804;3,0833333333
805;2,8888888889
806;3
807;3,875
808;3,1666666667
809;2,5454545455
810;2,3333333333
811;3
812;3,1111111111
813;2,875
814;2,8333333333
815;3,3333333333
816;4
817;3,0833333333
818;2,0833333333
819;2,5
820;2,625
821;3,8333333333
822;1,6666666667
823;2,8571428571
824;2,7
825;1,1666666667
826;2,75
827;2,8
828;1,75
829;3,125
830;3
831;3,8333333333
832;3,1666666667
833;2,4166666667
834;2,7142857143
835;4
836;4
837;3,125
838;4
839;3
840;2,5454545455
841;1,9
842;3,3333333333
843;3,1
844;2,625
845;2,8333333333
846;3,4545454545
847;2,5
848;2,6
849;2,3
850;2,5714285714
851;3
852;2
853;3,2727272727
854;3
855;4
856;4
857;1,375
858;1,5454545455
859;3
860;2,375
861;2,4166666667
862;3,8333333333
863;3,8333333333
864;3,1666666667
865;2,9166666667
866;3,2727272727
867;3,1
868;3,0909090909
869;3,75
870;3,1818181818
871;4
872;3,3636363636
873;3,6
874;4
875;3,5833333333
876;3,9090909091
877;3,7777777778
878;3
879;3,5833333333
880;3,8333333333
881;3
882;3,5
883;2,6363636364
884;2,25
885;3,3333333333
886;3
887;3,25
888;2
889;2,6
890;3,4166666667
891;3,75
892;4
893;3,1666666667
894;4
895;2,6
896;3,9
897;4
898;4
899;4
900;3,9090909091
901;3,9166666667
902;3
903;4
904;2,5833333333
905;3,7142857143
906;2,875
907;3
908;3,1666666667
909;4
910;3,2
911;2,6363636364
912;3,1666666667
913;3,6666666667
914;3,6666666667
915;3,5454545455
916;3,3333333333
917;3,3
918;3,625
919;3,5
920;2,75
921;3,5833333333
922;3,8333333333
923;3,0833333333
924;3
925;2,4166666667
926;2,5
927;3
928;2,5
929;3,0833333333
930;3,7
931;3,8333333333
932;3,6666666667
933;2,75
934;2,8333333333
935;4
936;3
937;2,1818181818
938;2
939;4
940;3,8333333333
941;3,9166666667
942;3,2857142857
943;3,75
944;3,6363636364
945;4
946;3
947;4
948;3,5555555556
949;3,5833333333
950;3,6666666667
951;4
952;3,9166666667
953;3,9166666667
954;4
955;3,6666666667
956;4
957;3,6
958;3
959;3,8333333333
960;3,4
961;4
962;4
963;2,5
964;3,7
965;3,6363636364
966;3,75
967;3,0833333333
968;3,25
969;4
970;3,9166666667
971;4
972;3,6363636364
973;1,5
974;3,9166666667
975;3,8333333333
976;3,9
977;2,9166666667
978;4
979;4
980;3,8333333333
981;3
982;3,0833333333
983;3,5454545455
984;3,5833333333
985;3
986;3,2222222222
987;3,0833333333
988;2,875
989;3,9090909091
990;3,2222222222
991;2,7272727273
992;3,5833333333
993;3,3636363636
994;3,6666666667
995;3,5555555556
996;3,6666666667
997;2,5833333333
998;3,8181818182
999;3,9166666667
1000;3,9090909091
1001;3,6666666667
1002;2,9166666667
1003;3,75
1004;3,6
1005;3
1006;3,7
1007;3,5
1008;3,3636363636
1009;3,75
1010;2,8571428571
1011;3,3333333333
1012;2,9
1013;3,8181818182
1014;3,6
1015;2,7
1016;3,1666666667
1017;3,2
1018;2,5
1019;3,5833333333
1020;3,0833333333
1021;4
1022;3,5
1023;3,4285714286
1024;3,6666666667
1025;3,7272727273
1026;1,9166666667
1027;1,9090909091
1028;3,1
1029;4
1030;3,4444444444
1031;3,5
1032;3,9166666667
1033;3,75
1034;3
1035;3
1036;2,6666666667
1037;3,2222222222
1038;3,2222222222
1039;3
1040;2,8888888889
1041;3,6666666667
1042;3,0833333333
1043;2,25
1044;3,3333333333
1045;3,75
1046;2,875
1047;3,6666666667
1048;2,4166666667
1049;2,4
1050;2,7272727273
1051;2,9
1052;3,6666666667
1053;3,3
1054;2,75
1055;3
1056;1,5
1057;2,1666666667
1058;2,0909090909
1059;3,2222222222
1060;2,4166666667
1061;2,7142857143
1062;2,8333333333
1063;3,5
1064;2,25
1065;2
1066;2,1111111111
1067;2,6666666667
1068;4
1069;3,1111111111
1070;3,6363636364
1071;3,6
1072;3,75
1073;3,4
1074;2,9166666667
1075;3,9166666667
1076;2,8
1077;3,9
1078;3,5454545455
1079;3,1818181818
1080;3,4444444444
1081;2,8333333333
1082;3,5555555556
1083;3,4
1084;3,6
1085;3
1086;2,5
1087;1,6363636364
1088;3,2222222222
1089;3,5833333333
1090;2,7142857143
1091;3,75
1092;2,9166666667
1093;2,25
1094;4
1095;1,75
1096;3,5714285714
1097;3,25
1098;3
1099;2,8333333333
1100;3,6666666667
1101;3,1666666667
1102;3,1666666667
1103;2,6
1104;2,6666666667
1105;2,6666666667
1106;3,75
1107;3,0833333333
1108;2,5
1109;4
1110;3
1111;2,2222222222
1112;3
1113;2,5
1114;3,25
1115;3,6666666667
1116;3,5454545455
1117;3,75
1118;3,8181818182
1119;2,1428571429
1120;3,5
1121;3,5
1122;3,0833333333
1123;3,8333333333
1124;3,3636363636
1125;2,875
1126;3,9166666667
1127;3,6666666667
1128;3,5
1129;3,125
1130;3,6666666667
1131;3,4285714286
1132;4
1133;4
1134;3,4
1135;2,6
1136;3,5
1137;3,5
1138;3,4166666667
1139;3,2222222222
1140;3
1141;3
1142;3,6666666667
1143;4
1144;2,8571428571
1145;4
1146;4
1147;3,8333333333
1148;2,25
1149;4
1150;2,5
1151;2,8333333333
1152;3,8333333333
1153;4
1154;2,8571428571
1155;3,2
1156;3,75
1157;3,0833333333
1158;3,25
1159;3,6666666667
1160;2,8333333333
1161;3,4545454545
1162;3,2857142857
1163;4
1164;2,6666666667
1165;3,1428571429
1166;3
1167;4
1168;3
1169;4
1170;2,9166666667
1171;3,4
1172;3,5
1173;3
1174;3,8333333333
1175;4
1176;4
1177;3,75
1178;4
1179;3,7272727273
1180;2,8333333333
1181;3,3333333333
1182;3,5833333333
1183;2,75
1184;3,0833333333
1185;1,5833333333
1186;3,3636363636
1187;3,1666666667
1188;2,8333333333
1189;3,1
1190;3,1
1191;3,9166666667
1192;2,2222222222
1193;3,75
1194;2,7
1195;3,4545454545
1196;3,5
1197;3,6666666667
1198;2,375
1199;3,6363636364
1200;3,6666666667
1201;2,8181818182
1202;3,3636363636
1203;3,4285714286
1204;3,9
1205;3,6666666667
1206;2,4166666667
1207;3
1208;3,5555555556
1209;3,25
1210;2,2222222222
1211;3
1212;2,4166666667
1213;3,375
1214;3,1428571429
1215;3,0833333333
1216;3,25
1217;3,9166666667
1218;4
1219;4
1220;3,5833333333
1221;4
1222;3,5
1223;3,8333333333
1224;3,5454545455
1225;4
1226;3,9166666667
1227;3,9166666667
1228;3,6
1229;2,6666666667
1230;2,8
1231;2,3333333333
1232;3,5454545455
1233;NA
1234;3,4545454545
1235;3
1236;3,8333333333
1237;3,75
1238;2,2222222222
1239;2,3333333333
1240;2,9166666667
1241;2,9166666667
1242;3,3333333333
1243;4
1244;3,5833333333
1245;3,2
1246;3,3333333333
1247;1,75
1248;2,9166666667
1249;3,25
1250;2,6
1251;2
1252;2,8571428571
1253;2,6666666667
1254;3,5
1255;2,7
1256;2,7777777778
1257;1,5833333333
1258;3,5
1259;3,5
1260;3,3333333333
1261;2,8333333333
1262;3,9166666667
1263;2,8
1264;4
1265;3,9166666667
1266;3,375
1267;3,7777777778
1268;3
1269;3,1666666667
1270;3,8
1271;3,9166666667
1272;3,75
1273;3,7777777778
1274;1,9166666667
1275;3,1666666667
1276;3,9166666667
1277;3,4
1278;3,6666666667
