"";"V1"
"381";0,661659679741456
"382";1,58438725485916
"383";-1,18379547049395
"384";1,58438725485916
"385";0,661659679741456
"386";-1,18379547049395
"387";-0,261067895376249
"388";-1,18379547049395
"389";1,58438725485916
"390";0,661659679741456
"391";0,661659679741456
"392";1,58438725485916
"393";0,661659679741456
"394";-0,261067895376249
"395";0,661659679741456
"396";0,661659679741456
"397";-0,261067895376249
"398";-1,18379547049395
"399";0,661659679741456
"400";0,661659679741456
"401";-0,261067895376249
"402";0,661659679741456
"403";-1,18379547049395
"404";0,661659679741456
"405";1,58438725485916
"406";1,58438725485916
"407";1,58438725485916
"408";1,58438725485916
"409";-0,261067895376249
"410";-0,261067895376249
"411";-1,18379547049395
"412";0,661659679741456
"413";-0,261067895376249
"414";1,58438725485916
"415";-0,261067895376249
"416";-1,18379547049395
"417";0,661659679741456
"418";0,661659679741456
"419";1,58438725485916
"420";-1,18379547049395
"421";-0,261067895376249
"422";-1,18379547049395
"423";0,661659679741456
"424";0,661659679741456
"425";1,58438725485916
"426";-1,18379547049395
"427";1,58438725485916
"428";-1,18379547049395
"429";0,661659679741456
"430";0,661659679741456
"431";-1,18379547049395
"432";-1,18379547049395
"433";1,58438725485916
"434";1,58438725485916
"435";0,661659679741456
"436";-0,261067895376249
"437";-1,18379547049395
"438";1,58438725485916
"439";-0,261067895376249
"440";-1,18379547049395
"441";-1,18379547049395
"442";-1,18379547049395
"443";1,58438725485916
"444";-1,18379547049395
"445";-1,18379547049395
"446";-1,18379547049395
"447";0,661659679741456
"448";1,58438725485916
"449";-1,18379547049395
"450";0,661659679741456
"451";-0,261067895376249
"452";-1,18379547049395
"453";-1,18379547049395
"454";-1,18379547049395
"455";-1,18379547049395
"456";0,661659679741456
"457";-1,18379547049395
"458";-0,261067895376249
"459";-0,261067895376249
"460";-1,18379547049395
"461";-1,18379547049395
"462";-0,261067895376249
"463";-1,18379547049395
"464";-0,261067895376249
"465";-1,18379547049395
"466";0,661659679741456
"467";0,661659679741456
"468";0,661659679741456
"469";-1,18379547049395
"470";-1,18379547049395
"471";-1,18379547049395
"472";-0,261067895376249
"473";1,58438725485916
"474";0,661659679741456
"475";0,661659679741456
"476";1,58438725485916
"477";1,58438725485916
"478";1,58438725485916
"479";0,661659679741456
"480";1,58438725485916
"481";-0,261067895376249
"482";0,661659679741456
"483";-1,18379547049395
"484";-1,18379547049395
"485";0,661659679741456
"486";-0,261067895376249
"487";-0,261067895376249
"488";-0,261067895376249
"489";-1,18379547049395
"490";-1,18379547049395
"491";0,661659679741456
"492";-0,261067895376249
"493";0,661659679741456
"494";-0,261067895376249
"495";-0,261067895376249
"496";0,661659679741456
"497";-1,18379547049395
"498";0,661659679741456
"499";-1,18379547049395
"500";0,661659679741456
"501";-1,18379547049395
"502";0,661659679741456
"503";1,58438725485916
"504";1,58438725485916
"505";-1,18379547049395
"506";-0,261067895376249
"507";-1,18379547049395
"508";0,661659679741456
"509";-1,18379547049395
"510";0,661659679741456
"511";0,661659679741456
"512";1,58438725485916
"513";1,58438725485916
"514";-0,261067895376249
"515";1,58438725485916
"516";-0,261067895376249
"517";0,661659679741456
"518";-0,261067895376249
"519";-1,18379547049395
"520";-1,18379547049395
"521";-1,18379547049395
"522";1,58438725485916
"523";-1,18379547049395
"524";1,58438725485916
"525";1,58438725485916
"526";-1,18379547049395
"527";-0,261067895376249
"528";0,661659679741456
"529";-1,18379547049395
"530";-1,18379547049395
"531";-0,261067895376249
"532";1,58438725485916
"533";1,58438725485916
"534";0,661659679741456
"535";-0,261067895376249
"536";0,661659679741456
"537";-0,261067895376249
"538";1,58438725485916
"539";-0,261067895376249
"540";1,58438725485916
"541";0,661659679741456
"542";-0,261067895376249
"543";1,58438725485916
"544";0,661659679741456
"545";-0,261067895376249
"546";1,58438725485916
"547";-1,18379547049395
"548";-1,18379547049395
"549";-1,18379547049395
"550";-0,261067895376249
"551";0,661659679741456
"552";0,661659679741456
"553";0,661659679741456
"554";0,661659679741456
"555";-0,261067895376249
"556";1,58438725485916
"557";-0,261067895376249
