gespr8.1;anspr8.2;ofohr8.3;austs8.4;infrm8.5;etwgs8.6;ptner8.7;ausef8.8;auflt8.9;mitw8.10;eamt8.11;hosp8.12;pdar8.13;eins8.14;besw8.15;ents8.16;eazf8.17;ifpd8.18;betl8.19;gsmt8.20;Kitadauer;Alter;Austausch;Beteiligung
2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;3;5;1,8888888889;1,8333333333
1;1;1;1;1;1;1;1;2;3;3;1;1;1;1;1;1;1;1;1;3;4;1;1,4166666667
2;3;3;2;2;NA;NA;3;3;3;NA;NA;3;3;NA;NA;NA;NA;NA;2;1;3;2,5;3
3;4;4;4;2;3;4;3;3;4;4;4;4;3;4;4;4;4;4;4;2;3;3,3333333333;3,8333333333
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4
3;3;3;3;3;2;3;2;3;4;4;NA;3;3;4;4;4;4;4;4;3;3;2,8888888889;3,6363636364
2;2;3;3;2;3;1;2;3;4;3;1;3;2;3;4;2;3;1;2;3;4;2,2222222222;2,6666666667
4;4;4;4;3;4;4;4;3;3;NA;3;3;2;4;4;4;3;4;4;2;3;3,6666666667;3,3636363636
3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;2;3;5;3,3333333333;3,0833333333
4;4;1;4;3;4;4;4;4;1;3;3;4;3;3;1;3;4;4;4;4;6;3,6666666667;2,8333333333
4;4;4;4;4;4;1;1;4;4;4;4;3;3;4;2;3;3;4;4;2;4;3,2222222222;3,5
3;3;3;3;3;3;2;NA;3;3;3;NA;3;2;3;3;3;3;3;2;1;3;2,75;2,9090909091
NA;NA;NA;3;NA;NA;2;NA;3;NA;NA;2;3;NA;NA;3;3;NA;3;2;4;5;2,5;2,8333333333
3;3;NA;3;3;3;3;3;2;3;3;3;3;2;2;2;2;NA;3;2;3;5;2,7777777778;2,5
2;3;NA;3;1;NA;1;NA;3;2;NA;NA;1;1;NA;1;2;2;3;2;1;2;1,8333333333;1,875
2;2;3;3;2;3;2;NA;3;NA;3;NA;NA;NA;NA;NA;3;3;3;2;1;2;2,3333333333;3
1;1;1;2;1;1;1;1;1;NA;NA;NA;1;1;1;1;2;2;1;2;4;5;1,1111111111;1,2222222222
2;2;NA;2;1;1;1;1;NA;NA;3;2;2;NA;NA;2;NA;NA;2;NA;2;5;1,4285714286;2,2
3;3;NA;3;2;3;2;2;3;3;3;NA;2;NA;3;2;3;2;3;2;1;3;2,625;2,6666666667
2;2;2;3;2;NA;NA;2;3;NA;3;NA;3;2;3;NA;2;3;3;2;NA;4;2,2857142857;2,6666666667
1;2;NA;2;2;2;2;2;2;2;NA;NA;2;2;NA;2;2;2;2;2;2;4;1,875;2
3;3;3;3;2;3;2;2;3;3;3;3;2;2;3;3;2;2;3;2;3;5;2,5555555556;2,6666666667
2;NA;NA;2;1;3;1;1;2;NA;NA;2;1;NA;3;1;1;2;2;1;4;5;1,8571428571;1,75
3;3;3;3;3;3;NA;3;3;2;2;2;3;NA;3;NA;4;2;3;2;2;3;3;2,7
4;3;4;4;3;4;2;3;3;4;4;4;4;NA;4;4;3;4;2;4;4;6;3,375;3,6363636364
3;NA;NA;3;2;NA;NA;NA;2;1;NA;NA;2;1;1;1;NA;1;1;2;4;6;2;1,25
4;4;NA;3;2;4;NA;NA;1;2;NA;NA;2;1;3;2;NA;NA;NA;NA;2;3;3;1,8333333333
2;3;3;3;1;3;2;1;3;3;3;3;2;2;4;3;3;3;3;2;1;2;2,3333333333;2,9166666667
1;1;2;1;1;2;1;1;4;2;1;1;2;1;NA;3;1;2;4;1;2;3;1,125;2,0909090909
